language,pipeline,coherence_cv,coherence_npmi,topic_diversity,topic_stability,vocab_size,mattr,hapax_ratio,mean_doc_tokens,subword_per_word,meaning_preservation
English,rule,0.5007397453159458,-0.2668204622967864,0.9875,0.17777347136867258,34463,0.7991824490585862,0.5753416707773554,13.02282,1.186726443652527,0.880704939365387
English,stat,0.7752483020603873,-0.5158128743727717,1.0,0.05162108703130375,33751,0.9737645949910724,0.5874788895143848,3.015,1.7067656765676569,0.6057608723640442
English,deep,0.48095761946922966,-0.25506678564921426,0.975,0.2105786767841721,26914,0.7499045695743702,0.5891357657724604,12.84694,1.2894614670380686,0.782131016254425
Swahili,rule,0.5140237471368435,0.04096655166325165,0.7875,0.5462337907190848,202051,0.7248456682305839,0.5227492068834106,328.6023597225975,1.494721272859521,0.8747736215591431
Swahili,stat,0.6476750913569354,-0.4299517158891043,1.0,0.16957559339525285,197954,0.836526032043836,0.5335481980662174,51.99405566063226,2.5491475706748563,0.7255433201789856
Swahili,deep,0.5140137533281387,0.0409622088518978,0.7875,0.5462337907190848,201927,0.7248384350058883,0.5225205148395212,328.5954696928758,1.4940532919438823,0.8746788501739502
